record_id,near_duplicate_group_id,direct_perceptual_label_conflict,direct_benchmark_match,minimum_direct_distance
rec_0725a69e112b78e3df37,near_decaf119a0476c3bf5bb,false,false,0
rec_0726fceba4bcea7aaa8d,near_a8f0e71de000fb1e9534,false,false,1
rec_0731daaaffa735fd23d2,near_96bc150a3f1ac2374a3e,false,false,0
rec_0733351298983b818d00,near_3c06862c1ccd80df2188,false,false,0
rec_07339d971b34504abe1b,near_35623cb24fc75d743c84,false,false,0
rec_073846521d082fe34169,near_8f0e3317a51b3721b5ab,false,false,0
rec_07439386ad3b2e789b6b,near_aafaac3b1ca532702a47,false,false,0
rec_0748ee98f3e78c5d3041,near_1b06920f4ff141f059fb,false,false,0
rec_074baa63a78b14f044e9,near_a6fe4c7f1611afe298f5,false,false,0
rec_0751d8300da3703652e5,near_2791da3a50be06fd2718,true,false,0
rec_07592df89063e57a65ab,near_b60d601e863d6847f4de,true,false,4
rec_076204fb3ea22bab3450,near_d41c2c49103e6a0cec69,true,false,0
rec_076ded507efabd6f5899,near_f120557cd84487351fa1,false,false,0
rec_076f1a63665e5bf9c2e4,near_672a65798c93c8ad86e3,false,false,2
rec_077da36e8720cf09d2b1,near_d576236aa89219f8e57f,false,false,0
rec_077fd89758c4cfff6382,near_249efc654fe2d642ac68,true,false,0
rec_078223edeb5be6956cde,near_d063e124e682fb6fabce,false,false,0
rec_078db4b575a6d9f896e3,near_4111a77ce111cb7a8155,false,false,2
rec_078db5dbea2ab91a9091,near_238549c0147e9efecea7,false,false,4
rec_078eac08c1efd5cb2b34,near_1a87e7354316ed69307f,false,false,3
rec_0792af8e4d6e57d56db0,near_345cc008e0284112b352,false,false,0
rec_0796a87473316ce4230d,near_760cdfba5bfecf29fa1d,false,false,1
rec_07a089dc5481f867b3d9,near_2791da3a50be06fd2718,true,false,2
rec_07a763ce9f423b8db48a,near_2791da3a50be06fd2718,true,false,0
rec_07a93401e8f9705c3fd7,near_2791da3a50be06fd2718,true,false,1
rec_07a962fb164c8ea4e52a,near_b23d49037565b4b4cd89,false,false,0
rec_07acfa7dbc878eae7e8b,near_2791da3a50be06fd2718,true,false,0
rec_07bc01439ffca38d0b9f,near_085a6ec827dde7844fa2,false,false,0
rec_07be945389e78bc83a40,near_48104cda60beeee779c3,false,false,3
rec_07c130f31b6fdf947066,near_bf3c45b771d390d5bce1,false,false,0
rec_07c53936aea362da62a8,near_2791da3a50be06fd2718,true,false,0
rec_07c67ca5de956c6ba250,near_2791da3a50be06fd2718,true,false,0
rec_07c6e3d67c6271c88127,near_53f59a2188f11c36977e,false,false,0
rec_07dd92c42ca9bf0a7f01,near_bbf977eb88eea0992f91,false,false,0
rec_07e040c0ed6897b4c7e3,near_2791da3a50be06fd2718,true,false,0
rec_07e5f587e9d7c19576b0,near_1c21ffda29bb2409e44d,false,false,0
rec_07efeaa5d4d19dc70615,near_5467ce3354aa01b364d9,false,false,0
rec_07f95bec0a897c141cce,near_2791da3a50be06fd2718,true,false,1
rec_0804abb4026b88f656c3,near_2791da3a50be06fd2718,true,false,0
rec_080aa7b3c0f21fc2f206,near_ba540f338bcf2efc9fa1,false,false,3
rec_080ef18c91876d58cbe8,near_e3f3f14302d5011f3ec7,false,false,2
rec_080f01d3bd546f2fb472,near_2791da3a50be06fd2718,true,false,0
rec_0815600a5b9e4fda3f2d,near_6de3eb35c300631630da,false,false,1
rec_081d9d550bcf7a493fdb,near_d576236aa89219f8e57f,false,false,0
rec_082a8328cd00e0c88de5,near_1c77ce482d817c4e02bb,false,false,2
rec_082d1fabe5c193d3c368,near_a9269122d9c1a305965f,false,false,3
rec_0830b1a5604b7d50fec2,near_2791da3a50be06fd2718,true,false,0
rec_0833e461aa28b8596586,near_1bd39f6cf1d1fe250c4a,false,false,1
rec_08344419d65bbacd63f2,near_2791da3a50be06fd2718,true,false,0
rec_083df0ed717d99b946f1,near_d77d1c9f948178535e9d,false,false,0
rec_08424ea61fab8dd6deb1,near_c6d98000e65a61cab12c,false,false,0
rec_08473f2f2f0005581348,near_d0be25c6733f9c23b1cb,false,false,0
rec_085057fd39561896a6fd,near_2791da3a50be06fd2718,true,false,0
rec_0851c5a97d6f534e5fc6,near_8617a2f61bed8455133b,false,false,0
rec_0858260f3d68ec7adc1b,near_d4041c77087491191230,false,false,3
rec_085fa4d8eaf5b850bdda,near_284fa0286ed3f024f723,false,false,0
rec_08609351f800dd2e5bb3,near_2791da3a50be06fd2718,true,false,0
rec_086a15ad8dbae36b896b,near_7f44135562bbca6bcffb,false,false,4
